# paper/generated/provenance.txt
# Generated by build_numbers.py on 2026-05-30T15:09:48Z
# Total citations: 94

FILE                                     LINE  MACRO        CSV                  KEY                                      VALUE
sections/06_discussion.tex                 136 result       agreement_matrix     _all:_all:min_unanimous_strict_pct       74.0
sections/06_discussion.tex                 141 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:cost_adj:full_mean_delta_pct 14.4375
sections/06_discussion.tex                 143 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:cost_adj:unanimous_majority_mean_delta_pct 4.0601
sections/06_discussion.tex                 145 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:input_tokens:full_mean_delta_pct 25.9719
sections/06_discussion.tex                 147 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:input_tokens:unanimous_majority_mean_delta_pct 16.5215
sections/06_discussion.tex                 149 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:output_tokens:unanimous_majority_mean_delta_pct 44.2414
sections/06_discussion.tex                 157 result       agreement_matrix     _all:_all:cache_floor_unchanged_majority 34.0
sections/06_discussion.tex                 158 result       agreement_matrix     _all:_all:cache_floor_total_groups       36.0
sections/06_discussion.tex                 192 result       headline_unanimous   swebench:claude:onlycode-vs-baseline:cost_adj:full_mean_delta_pct 14.4375

# UNRESOLVED (5):
#   sections/04_experimental_setup.tex:34 — \result{artifact_categories}{...}
#   sections/04_experimental_setup.tex:45 — \result{swebench_repos}{...}
#   sections/04_experimental_setup.tex:81 — \result{setup}{codex_cli_version}
#   sections/04_experimental_setup.tex:154 — \result{cost_rates}{...}
#   sections/04_experimental_setup.tex:162 — \result{setup}{wall_budget_seconds}
